date,home_team_ua,away_team_ua,sofascore_event_id,sofa_home_en,sofa_away_en,sofascore_custom_id
2026-10-24,Динамо Київ,Кудрівка,16412971,Dynamo Kyiv,Kudrivka,
2026-10-24,Шахтар,Зоря,16412972,Shakhtar Donetsk,Zoria Luhansk,
2026-10-25,Лечче,Ювентус,16285054,Lecce,Juventus,
2026-10-25,Удінезе,Мілан,16285058,Udinese,AC Milan,
2026-10-25,Барселона,Реал Мадрид,16421080,FC Barcelona,Real Madrid,
2026-10-28,Дженоа,Ювентус,16285061,Genoa,Juventus,
2026-10-28,Мілан,Болонья,16285062,AC Milan,Bologna,
2026-10-31,Кривбас,Динамо Київ,16412986,FC Kryvbas Kryvyi Rih,Dynamo Kyiv,
2026-10-31,Баварія,Боруссія Дортмунд,16434076,FC Bayern München,Borussia Dortmund,
2026-10-31,Ліверпуль,Арсенал,16363907,Liverpool FC,Arsenal,
2026-10-31,Челсі,Манчестер Юнайтед,16363904,Chelsea,Manchester United,
2026-10-31,Оболонь,Шахтар,16412985,Obolon Kyiv,Shakhtar Donetsk,
2026-10-31,Расінг Сантандер,Реал Мадрид,16421098,Real Racing Club,Real Madrid,
2026-11-01,Мілан,Інтер,16285075,AC Milan,Inter,
2026-11-01,Ювентус,Наполі,16285067,Juventus,SSC Napoli,
2026-11-01,Барселона,Алавес,16421091,FC Barcelona,Deportivo Alavés,
2026-08-01,Челсі,Тоттенгем,16282057,Chelsea,Tottenham Hotspur,IN
2026-08-01,Манчестер Юнайтед,Атлетіко Мадрид,16284994,Manchester United,Atletico Madrid,KsLgb
2026-08-01,Жирона,Арсенал,16404394,Girona,Arsenal,RsoKj
